Campaign Name,Date,Impressions,Clicks,Spend,Conversions,Revenue,CTR,ROAS,Conversion Rate
Campaign D,2024-01-03,34965,5741,3311.64,261,8795.95,16.419276419276418,2.6560707081687625,4.546246298554259
Campaign B,2023-02-08,33989,6042,618.59,215,9849.8,17.776339403924798,15.922986145912477,3.5584243627937764
Campaign B,2024-03-19,89973,3561,4550.63,483,6380.04,3.957854022873529,1.4020124686032482,13.563605728727884
Campaign B,2023-08-24,42726,9620,1818.96,465,7547.31,22.515564293404484,4.149244623301227,4.833679833679834
Campaign D,2023-06-02,75127,3366,1238.75,272,9864.97,4.480413167037151,7.9636488395560034,8.080808080808081
Campaign A,2024-09-26,96476,537,1484.51,197,4717.99,0.5566151167129649,3.178146324376393,36.6852886405959
Campaign B,2024-02-04,45129,1448,1509.77,295,3486.56,3.2085798488776613,2.3093318849891045,20.37292817679558
Campaign B,2023-09-23,21893,8884,1383.06,51,4525.22,40.579180559996345,3.2718898673954855,0.5740657361548852
Campaign D,2024-11-21,50172,8075,4330.8,315,2311.5,16.094634457466316,0.53373510667775,3.900928792569659
Campaign D,2024-06-24,16710,6540,3978.0,469,7759.31,39.138240574506284,1.9505555555555556,7.17125382262997
Campaign D,2024-05-13,97542,4092,2105.64,413,8254.66,4.195115950052285,3.9202617731426077,10.092864125122189
Campaign B,2024-04-26,62694,8331,3614.51,98,970.98,13.28835295243564,0.2686339227170488,1.1763293722242227
Campaign A,2023-11-26,17651,760,1367.96,257,4928.53,4.3057050592034445,3.6028319541507057,33.81578947368421
Campaign A,2023-08-28,28258,1682,3401.92,268,3238.98,5.952296694741312,0.9521035180133571,15.933412604042807
Campaign D,2024-05-13,20493,6150,3185.88,318,5077.56,30.010247401551748,1.5937700101698746,5.170731707317073
Campaign C,2024-08-10,37306,3628,4750.28,469,6001.79,9.724977215461319,1.2634602591847217,12.92723263506064
Campaign C,2023-03-10,87131,5888,2550.31,154,4741.32,6.757640793747346,1.8591151663915366,2.6154891304347827
Campaign C,2024-09-26,96840,7649,206.87,403,3846.95,7.898595621643949,18.595978150529316,5.268662570270624
Campaign D,2024-02-06,11388,5391,1104.5,410,5681.41,47.339304531085354,5.14387505658669,7.6052680393248
Campaign D,2023-05-09,87926,7110,1893.31,251,3191.29,8.086345335850602,1.685561265719824,3.530239099859353
Campaign A,2024-11-25,31175,2766,709.69,106,550.29,8.872493985565356,0.775394890726937,3.8322487346348515
Campaign C,2023-05-04,68027,9381,605.86,245,247.88,13.790112749349523,0.40913742448750534,2.611661869736702
Campaign B,2023-03-23,23770,537,3889.01,314,9900.6,2.2591501893142616,2.545789288276451,58.47299813780261
Campaign C,2024-05-29,23059,7925,2085.91,315,563.98,34.36835942582072,0.2703759989644808,3.974763406940063
Campaign D,2024-06-16,1504,7821,1578.11,13,125.22,520.0132978723404,0.07934808093225441,0.16621915356092573
Campaign B,2024-12-09,78813,2963,949.43,292,619.2,3.7595320568941673,0.6521807821535027,9.854876814039825
Campaign D,2023-06-19,11863,8300,2628.52,300,4576.02,69.96543875916716,1.7409112352198197,3.614457831325301
Campaign A,2023-06-08,73987,1005,380.43,219,7387.4,1.3583467365888602,19.41855269037668,21.791044776119403
Campaign D,2024-09-28,12766,9214,3366.11,424,4948.49,72.17609274635751,1.4700915894014157,4.601693075754286
Campaign C,2023-09-16,45353,7540,3088.49,253,208.1,16.625140564020022,0.0673792047246389,3.355437665782493
Campaign D,2024-08-04,77835,2235,2825.85,364,5565.8,2.871458855270765,1.969602066634818,16.286353467561522
Campaign A,2024-05-17,2439,1513,767.27,383,211.97,62.03362033620336,0.2762651999947867,25.313945803040315
Campaign A,2023-07-25,81833,110,1370.29,338,6828.31,0.1344200994708736,4.983113063658058,307.27272727272725
Campaign A,2023-05-20,1094,7285,1802.59,92,1147.59,665.9049360146252,0.6366339544766142,1.2628689087165408
Campaign B,2024-06-12,84422,1809,398.44,468,7980.88,2.142806377484542,20.03031824114045,25.870646766169152
Campaign A,2023-06-22,91185,4344,1337.88,463,3055.67,4.76394143773647,2.2839641821389063,10.658379373848987
Campaign A,2024-08-25,11616,6356,4648.53,352,4685.35,54.71763085399449,1.007920783559534,5.538074260541221
Campaign A,2023-05-23,18176,4529,770.13,91,7314.68,24.917473591549296,9.497980860374224,2.009273570324575
Campaign D,2024-05-21,94850,5763,208.61,181,1417.98,6.075909330521877,6.797277215857341,3.1407253166753426
Campaign D,2024-08-29,70293,4135,156.94,324,9738.25,5.882520307854267,62.05078373900854,7.835550181378477
Campaign C,2023-03-29,88725,8607,1650.0,37,8689.73,9.700760777683854,5.2665030303030305,0.4298826536540025
Campaign B,2024-03-15,69691,4731,4342.21,145,3910.91,6.7885379747743615,0.9006726989252016,3.064891143521454
Campaign B,2023-10-26,38463,853,3712.74,124,4373.38,2.2177157268023815,1.1779386652445365,14.536928487690503
Campaign B,2023-07-03,23560,8622,4504.78,280,473.31,36.59592529711375,0.10506839401702192,3.2475063790303875
Campaign C,2023-09-15,55918,6335,1153.96,228,7620.12,11.329089023212562,6.603452459357343,3.599052880820837
Campaign A,2024-01-21,7677,8009,2771.18,145,6349.88,104.32460596587208,2.2913993316926367,1.810463228867524
Campaign D,2023-08-28,35966,3755,2404.98,60,7922.64,10.440415948395707,3.294264401367163,1.5978695073235687
Campaign A,2024-11-17,75520,5406,811.97,342,1530.15,7.158368644067796,1.884490806310578,6.326304106548279
Campaign B,2023-04-18,28916,5016,1941.17,399,3932.15,17.346797620694428,2.0256597825023053,7.954545454545454
Campaign D,2024-10-18,2304,2494,3118.39,32,4067.32,108.24652777777777,1.304301258020966,1.2830793905372895
Campaign A,2024-06-20,55677,3114,4529.42,11,8134.74,5.592973759362034,1.79597829302648,0.35324341682723187
Campaign D,2024-03-29,37339,6312,4490.04,56,9209.02,16.904576983850667,2.050988409902807,0.8871989860583016
Campaign A,2024-04-09,47785,584,940.77,217,8152.45,1.2221408391754733,8.66572063309842,37.15753424657534
Campaign B,2023-09-14,24496,608,332.97,192,991.53,2.4820378837361203,2.9778358410667622,31.57894736842105
Campaign C,2023-01-15,81243,151,857.49,157,1135.8,0.18586216658665977,1.3245635517615366,103.97350993377484
Campaign B,2023-09-04,23263,6183,3325.06,374,7699.74,26.578687185659632,2.315669491678346,6.0488436034287565
Campaign A,2024-04-11,91478,1555,4473.74,498,5970.27,1.6998622619646253,1.3345142989981538,32.02572347266881
Campaign A,2024-01-03,53619,1861,2290.99,386,9026.18,3.470784609933046,3.939860060497864,20.741536808167652
Campaign C,2024-11-23,72433,4227,775.6,389,3827.94,5.835737854292933,4.935456420835482,9.202744263070736
Campaign C,2023-08-24,99820,9016,1303.8,214,4589.99,9.032258064516128,3.5204709311244056,2.3735581188997337
Campaign A,2024-01-28,66359,4229,3143.38,339,3543.71,6.372910984192045,1.1273565397756555,8.016079451406952
Campaign D,2023-11-15,25090,7620,3228.02,233,6534.02,30.370665603826225,2.0241572233133627,3.0577427821522307
Campaign A,2023-12-01,60445,4842,3854.19,252,9229.36,8.010588137976674,2.394630259535726,5.204460966542751
Campaign D,2023-07-19,85733,3605,2738.19,498,6655.24,4.204915260168197,2.4305252739948653,13.814147018030512
Campaign B,2023-06-06,29405,3493,1068.87,191,5600.34,11.87893215439551,5.239495916248001,5.4680790151732035
Campaign A,2023-08-01,97445,6351,4246.32,482,212.78,6.517522705115707,0.05010927108649372,7.589356006928043
Campaign C,2023-06-26,68112,6205,2439.17,46,2630.5,9.109995301855767,1.0784406170951595,0.7413376309427882
Campaign C,2024-08-20,31088,9041,403.41,66,386.25,29.081960885229023,0.9574626310701271,0.7300077425063599
Campaign D,2024-04-13,45270,2965,1743.2,274,2929.59,6.5495913408438255,1.6805816888480956,9.24114671163575
Campaign D,2023-07-15,90618,718,3156.97,70,6887.47,0.7923370632766116,2.1816710326673996,9.749303621169917
Campaign D,2024-03-17,19161,9210,4131.79,387,376.14,48.06638484421481,0.09103560442326449,4.201954397394137
Campaign A,2023-02-08,57469,8852,1395.84,377,2637.67,15.403086881623135,1.889665004585053,4.258924536827836
Campaign D,2023-08-13,36734,7656,4307.81,311,9420.02,20.841727010399087,2.1867306125386214,4.062173458725183
Campaign D,2024-01-30,27617,5152,386.61,174,6604.2,18.655176159611834,17.082331031271824,3.377329192546584
Campaign C,2024-02-18,13400,6347,2141.02,90,1775.13,47.365671641791046,0.8291048191983261,1.4179927524814875
Campaign C,2024-05-07,72331,3474,1073.68,66,3210.6,4.802919909858843,2.990276432456598,1.8998272884283247
Campaign D,2023-12-15,91041,8628,2438.15,453,9623.44,9.477048802188024,3.947025408608986,5.250347705146036
Campaign C,2024-12-04,61333,7624,4619.37,227,7192.45,12.43050233968663,1.5570196801728373,2.977439664218258
Campaign C,2023-07-01,85395,4127,681.34,319,5125.74,4.832835646115112,7.523028150409487,7.729585655439787
Campaign B,2024-12-13,50771,4656,4783.28,492,1420.48,9.170589509759509,0.2969677710692245,10.56701030927835
Campaign B,2023-11-28,92937,2872,2796.11,206,7225.71,3.0902654486372487,2.5842009076896115,7.172701949860724
Campaign C,2024-11-13,56039,7585,958.43,337,6940.99,13.535216545620015,7.242041672318271,4.442979564930784
Campaign B,2023-10-01,81126,2608,4868.32,249,9677.25,3.214752360525602,1.9878007197554803,9.547546012269938
Campaign A,2023-07-11,54861,4783,2549.59,345,9278.31,8.718397404349174,3.6391380574915964,7.213046205310475
Campaign C,2024-02-24,25097,2182,4087.59,14,8451.7,8.694266246961787,2.0676486633933444,0.6416131989000917
Campaign C,2024-01-02,32690,4982,2834.13,491,5525.84,15.24013459773631,1.9497482472575358,9.855479727017261
Campaign C,2024-03-04,48111,1774,627.7,302,9096.68,3.6873064371973143,14.49208220487494,17.023675310033823
Campaign A,2023-05-02,58358,9078,2720.32,73,6024.78,15.555707872099797,2.2147320903423124,0.8041418814716897
Campaign A,2024-06-02,91200,6504,4444.05,82,1989.3,7.13157894736842,0.4476322273601782,1.2607626076260763
Campaign A,2024-03-28,30500,6001,386.24,92,1536.7,19.675409836065576,3.9786143330571666,1.533077820363273
Campaign B,2023-12-23,36497,4926,2174.62,229,2349.0,13.49699975340439,1.0801887226274016,4.648802273650021
Campaign D,2024-06-25,16678,6518,2473.45,74,4883.66,39.08142463125075,1.9744324728617924,1.135317582080393
Campaign B,2023-12-10,30863,9073,2701.55,428,4992.32,29.397660629232412,1.847946549203235,4.7172930673426645
Campaign D,2024-06-14,83264,9353,3765.05,54,9219.07,11.23294581091468,2.4485916521692936,0.5773548594034
Campaign C,2023-06-24,69993,1756,1835.38,52,9182.56,2.508822310802509,5.0030838300515414,2.9612756264236904
Campaign B,2024-02-01,82881,6734,3394.31,417,9593.31,8.124901967881662,2.8262916469032,6.192456192456192
Campaign A,2023-07-17,90865,4506,2171.08,43,2331.51,4.959005117481978,1.0738940987895427,0.954283177984909
Campaign C,2024-09-24,56523,1558,423.03,50,6495.21,2.756400049537356,15.354017445571237,3.209242618741977
Campaign B,2024-10-04,20467,7217,1698.8,73,869.89,35.261640689891045,0.512061455144808,1.0115006235277815
Campaign C,2023-08-26,77608,3218,1279.51,25,984.76,4.1464797443562516,0.7696383771912685,0.7768800497203232
Campaign B,2023-12-07,82708,6316,2858.14,289,3317.73,7.636504328480921,1.1608003806671472,4.575680810639645
Campaign D,2024-04-05,54257,6765,3729.49,405,3444.07,12.468437252336104,0.9234694287958944,5.986696230598669
Campaign D,2024-03-12,99164,987,2360.0,254,5898.21,0.995320882578355,2.499241525423729,25.734549138804457
Campaign B,2023-03-27,8039,9308,220.58,382,7881.54,115.78554546585396,35.73098195665971,4.103996562097121
Campaign A,2024-05-27,60871,5272,3388.5,305,4121.77,8.660938706444776,1.216399586837834,5.7852807283763275
Campaign A,2023-11-03,48117,569,115.52,230,1339.98,1.1825342394579879,11.599549861495845,40.421792618629176
Campaign C,2024-04-17,99463,4763,4792.76,75,970.2,4.788715401707167,0.2024303324180639,1.5746378332983413
Campaign A,2023-11-15,5562,2169,1532.55,470,7749.06,38.996763754045304,5.056317901536655,21.668971876440757
Campaign D,2023-10-07,54158,7261,1909.41,81,1570.39,13.407068207836332,0.8224477718248046,1.1155488224762429
Campaign D,2024-04-01,32974,3449,2098.28,419,8393.28,10.459756171529083,4.000076252930972,12.148448825746595
Campaign A,2024-11-05,67199,8444,3470.82,188,6950.29,12.5656631795116,2.002492206452654,2.226432970156324
Campaign D,2023-09-17,76294,4022,589.68,315,6326.49,5.271712061236795,10.728683353683355,7.831924415713576
Campaign C,2023-08-18,48805,4804,1615.74,337,7564.06,9.843253764983096,4.681483406983797,7.014987510407994
Campaign D,2023-05-03,80420,6656,851.52,21,8264.45,8.276548122357623,9.705526587748968,0.3155048076923077
Campaign B,2024-09-13,20355,9883,3311.14,134,2672.55,48.55318103660034,0.8071389310026155,1.3558636041687746
Campaign D,2024-08-07,9852,8779,759.05,105,3374.86,89.10881039382866,4.446162966866479,1.1960359949880397
Campaign C,2023-05-08,57705,1631,3272.91,173,4997.65,2.8264448487999303,1.5269744661478624,10.606989576946658
Campaign A,2024-10-15,44966,4304,991.77,251,9082.17,9.5716763777076,9.157536525605735,5.8317843866171
Campaign D,2024-01-01,72907,6013,2593.37,386,1634.91,8.247493381979783,0.6304191071848599,6.419424580076501
Campaign C,2024-09-10,96581,8091,2123.48,273,8761.57,8.377424131040266,4.126043099063801,3.3741193919169445
Campaign B,2023-02-07,6580,1097,2262.85,151,4866.73,16.671732522796354,2.15070817774046,13.764813126709207
Campaign A,2024-11-04,97215,3388,3222.36,190,3429.69,3.485058890088978,1.0643410419692398,5.6080283353010625
Campaign A,2024-01-14,28270,6362,846.36,1,9518.88,22.504421648390522,11.246845314050757,0.015718327569946556
Campaign D,2023-10-07,73065,6959,1824.96,221,1694.11,9.524396085677136,0.9282997983517446,3.1757436413277773
Campaign D,2024-07-27,95875,2118,4314.44,288,4520.18,2.209126466753585,1.0476863741296671,13.59773371104816
Campaign D,2023-01-23,31412,2068,1564.7,212,1655.29,6.583471284859289,1.0578960823160988,10.251450676982591
Campaign C,2024-04-13,32358,7140,3021.94,350,8698.7,22.065640645280922,2.8785151260448587,4.901960784313726
Campaign A,2023-03-05,11638,3103,2349.77,10,7425.24,26.662656813885548,3.159985870957583,0.3222687721559781
Campaign B,2023-06-12,55116,3376,1235.55,112,3624.86,6.125263081500835,2.9338027599044962,3.3175355450236967
Campaign B,2023-09-19,39554,2731,4156.87,332,1846.49,6.904485007837387,0.44420200776064683,12.156719150494325
Campaign A,2024-03-11,71096,7499,3717.18,230,2461.18,10.54771013840441,0.6621094485604678,3.067075610081344
Campaign B,2024-01-09,68676,4548,3540.17,498,7121.19,6.62240083872095,2.011538993890124,10.949868073878628
Campaign C,2024-05-28,7363,1689,3683.88,352,3233.11,22.93901942143148,0.8776371651628174,20.84073416222617
Campaign D,2024-07-28,61338,1615,1051.11,325,7385.53,2.632951840620822,7.026410175909278,20.123839009287924
Campaign D,2024-10-15,26050,6128,3783.02,42,5055.45,23.523992322456813,1.3363529666774163,0.685378590078329
Campaign B,2023-06-10,93344,4242,2477.9,485,6219.5,4.544480630785054,2.509988296541426,11.433286185761434
Campaign C,2024-12-09,57409,5664,1144.43,173,9485.76,9.866048877353725,8.288632769151455,3.0543785310734464
Campaign B,2024-02-04,47635,9537,4312.15,252,5331.94,20.020992967355937,1.236492237051123,2.6423403586033345
Campaign D,2023-07-21,60476,1654,2309.27,262,1674.46,2.734969243997619,0.725103604169283,15.840386940749699
Campaign D,2023-03-23,74768,5084,4273.37,133,2575.76,6.799700406591056,0.6027467783037743,2.6160503540519278
Campaign D,2024-03-29,74172,1491,2068.36,459,9507.31,2.0101925254813136,4.5965450888626735,30.784708249496983
Campaign B,2024-06-29,54490,4556,1073.62,30,6523.79,8.36116718663975,6.076442316648349,0.6584723441615452
Campaign C,2024-01-01,4463,1171,4125.37,267,7362.32,26.237956531481068,1.7846447712568811,22.801024765157983
Campaign A,2024-03-27,51632,4337,1137.99,65,8458.29,8.399829563061667,7.432657580470831,1.4987318422872953
Campaign D,2023-02-03,21206,3919,1646.36,353,930.43,18.480618692822787,0.5651437109745134,9.00739984689972
Campaign C,2023-11-12,67763,4382,931.35,15,4212.84,6.466655844634977,4.5233693026252215,0.3423094477407576
Campaign C,2024-02-20,53858,5602,511.09,135,4040.87,10.401425972000446,7.906376567727798,2.4098536237058195
Campaign B,2023-09-13,1576,5533,4261.74,216,6805.44,351.0786802030457,1.5968688845401173,3.903849629495753
Campaign D,2023-12-14,26468,4301,4541.11,63,6713.0,16.24981109264017,1.4782729332696192,1.4647756335735875
Campaign C,2024-09-15,26682,6320,2499.9,66,9647.94,23.686380331309497,3.8593303732149287,1.0443037974683544
Campaign C,2024-09-14,72750,7173,1524.4,143,1531.23,9.859793814432988,1.0044804513251115,1.9935870625958456
Campaign D,2023-07-06,28394,4033,1503.73,87,5606.29,14.203705008100304,3.728255737399666,2.1572030746342676
Campaign C,2023-10-20,8059,142,3070.88,375,3770.21,1.7620052115647105,1.2277295107591308,264.0845070422535
Campaign A,2024-01-29,26042,4388,4320.52,192,8530.54,16.849704323784657,1.9744243748437689,4.375569735642662
Campaign D,2023-08-10,99203,1699,2666.55,207,9314.63,1.7126498190578914,3.4931390748345237,12.183637433784579
Campaign B,2023-09-14,26353,2887,565.89,52,9336.27,10.955109475202065,16.498383077983355,1.8011776931070316
Campaign A,2023-08-09,39086,6840,4613.79,141,6480.38,17.499872076958503,1.404567611443087,2.06140350877193
Campaign B,2023-01-06,75778,5850,1251.26,347,7271.56,7.719918709915808,5.81139011876029,5.931623931623932
Campaign B,2023-04-11,16966,3626,3468.24,442,3784.42,21.372156076859604,1.0911643946209029,12.189740761169332
Campaign C,2023-08-05,56886,183,259.13,21,8448.31,0.3216960236261998,32.60259329294176,11.475409836065573
Campaign A,2024-02-10,43186,6707,4463.18,419,2906.27,15.530495994072153,0.6511657607356189,6.247204413299538
Campaign B,2023-01-02,40352,7314,950.61,205,3032.29,18.125495638382237,3.189836000042078,2.802843861088324
Campaign C,2023-06-18,55870,7980,4827.8,117,9145.03,14.283157329514944,1.894243754919425,1.4661654135338347
Campaign B,2024-09-25,11865,3472,2759.92,246,2290.04,29.262536873156343,0.8297486883677787,7.085253456221198
Campaign A,2024-06-16,17490,4038,2818.47,58,1734.48,23.08747855917667,0.6153977157819669,1.4363546310054482
Campaign A,2024-06-08,33344,3101,4861.15,169,4752.7,9.300023992322457,0.9776904641905723,5.4498548855208
Campaign B,2024-10-20,42045,7400,3594.65,451,8884.26,17.600190272327268,2.471522957728847,6.094594594594595
Campaign B,2024-04-13,53357,4129,2849.96,190,2180.77,7.738441066776618,0.7651931956939746,4.601598449987891
Campaign D,2024-05-31,35771,4002,381.4,68,7953.62,11.187833720052556,20.85374934452019,1.6991504247876061
Campaign B,2024-06-06,60977,9453,1926.67,321,7933.39,15.502566541482853,4.117669346592826,3.395747381783561
Campaign B,2023-10-18,75447,6880,763.39,222,8459.73,9.118984187575384,11.081793054664065,3.2267441860465116
Campaign A,2024-01-12,57150,7566,2402.78,370,7044.2,13.238845144356956,2.9316874620231563,4.890298704731695
Campaign C,2024-09-11,37760,6015,1694.83,172,8638.93,15.929555084745765,5.097225090422048,2.8595178719867
Campaign C,2024-02-26,74106,1800,1874.88,221,1092.46,2.428953121204761,0.5826826250213347,12.277777777777779
Campaign A,2024-06-13,26545,4873,4293.95,411,1486.72,18.357506121680164,0.3462359831856449,8.434229427457417
Campaign C,2024-05-20,99074,2143,1919.96,363,4173.36,2.1630296546016106,2.1736702847975997,16.938870741950538
Campaign A,2023-04-29,42023,1038,3116.55,243,7662.83,2.470075910810747,2.4587540710080056,23.410404624277454
Campaign B,2023-12-01,61815,5028,3946.97,498,8074.14,8.133948070856588,2.0456552748057373,9.904534606205251
Campaign C,2024-06-15,82043,1704,4015.76,208,5650.42,2.0769596431139767,1.4070611789549177,12.206572769953052
Campaign C,2024-02-21,19493,4395,3037.23,270,4827.5,22.54655517365208,1.5894416952288764,6.143344709897611
Campaign C,2024-07-29,66230,3747,2077.64,278,5292.2,5.657556998339121,2.547217034712462,7.419268748331999
Campaign D,2023-05-22,12218,1162,805.06,496,2051.11,9.51055819283025,2.547772836807195,42.68502581755594
Campaign A,2024-05-19,8610,9763,3135.56,470,4464.41,113.39140534262486,1.4237998953934863,4.8140940284748535
Campaign D,2024-12-08,47391,8721,1329.08,92,3205.68,18.402228271190733,2.41195413368646,1.0549248939341818
Campaign D,2024-01-14,35788,3678,1780.45,27,7160.71,10.277187884206997,4.021854025667668,0.734094616639478
Campaign D,2024-10-22,36200,2468,481.52,423,9637.03,6.81767955801105,20.013768898488124,17.13938411669368
Campaign B,2024-01-24,6307,5065,1987.94,372,8439.38,80.30759473600762,4.24528909323219,7.344521224086871
Campaign D,2023-03-19,36836,4745,1826.73,18,9106.91,12.881420349657944,4.985361821396704,0.37934668071654376
Campaign D,2023-09-03,27110,4532,1778.82,492,9249.03,16.717078568793802,5.199531149863393,10.85613415710503
Campaign B,2023-09-04,84016,6260,343.79,293,1752.25,7.450961721576843,5.096861456121469,4.680511182108626
Campaign A,2023-01-16,39496,3598,989.64,435,2633.36,9.109783269191816,2.6609272058526336,12.090050027793218
Campaign B,2024-04-03,83086,1724,1208.46,65,3023.02,2.074958476759021,2.5015474239941744,3.7703016241299308
Campaign D,2024-08-19,62651,3840,1287.29,306,6166.65,6.129191872436194,4.790412416782543,7.968749999999999
Campaign A,2024-11-26,61516,6623,3313.35,39,2513.95,10.766304701215944,0.7587336079798391,0.588857013438019
Campaign B,2023-05-10,15901,2018,4504.97,268,8779.4,12.691025721652727,1.9488254083822976,13.280475718533202
Campaign D,2023-02-16,54313,6180,2006.74,211,4592.29,11.37849133724891,2.28843298085452,3.4142394822006468
Campaign D,2024-01-19,51474,3802,490.97,207,9843.26,7.386253254070016,20.0485976739923,5.444502893214097
Campaign D,2024-04-14,88739,536,2876.81,104,1948.03,0.604018526239872,0.6771493425008951,19.402985074626866
Campaign C,2023-08-11,22570,6238,3772.0,308,1616.29,27.638458130261405,0.4284968186638388,4.9374799615261304
Campaign D,2024-08-07,33838,960,2261.76,110,9099.62,2.8370471068030025,4.023247382569327,11.458333333333332
Campaign A,2023-10-14,41009,7105,1557.0,457,7969.43,17.32546514179814,5.118452151573539,6.432090077410274
Campaign D,2023-02-14,91249,3639,2093.43,63,3791.63,3.9879889094675014,1.8112045781325388,1.7312448474855728
Campaign D,2023-10-03,89864,1598,2632.24,342,4144.24,1.778242677824268,1.5744157067744584,21.401752190237797
Campaign D,2023-05-01,19931,3056,3011.58,412,7388.07,15.332898499824394,2.453220568605184,13.481675392670155
Campaign C,2024-02-14,14639,6689,1505.63,474,2692.75,45.69301181774711,1.7884540026434117,7.08626102556436
Campaign C,2024-12-17,29723,3493,1183.56,284,7135.77,11.75184200787269,6.029073304268479,8.130546807901517
Campaign C,2024-04-10,29399,3735,106.79,155,3076.75,12.704513758971395,28.81121827886506,4.149933065595716
Campaign B,2024-11-23,34722,9650,1556.21,155,1211.82,27.792177869938367,0.7786995328393982,1.6062176165803108
Campaign A,2024-03-30,57448,5060,2005.3,412,2066.7,8.807965464419997,1.0306188600209445,8.142292490118578
Campaign A,2023-09-28,52805,211,2724.83,464,6616.69,0.3995833727866679,2.4282946092049777,219.90521327014218
Campaign B,2024-01-13,76619,4088,1827.59,272,6748.58,5.335491196700557,3.69261158137219,6.653620352250488
Campaign C,2023-02-17,97133,7326,131.98,30,6049.84,7.542235903349017,45.839066525231104,0.4095004095004095
Campaign A,2023-02-15,18893,2628,4644.63,391,4319.99,13.909913724659928,0.9301042278932874,14.878234398782345
Campaign A,2023-08-13,88643,4590,3092.68,462,4024.06,5.178073846778652,1.3011562786967938,10.065359477124183
Campaign B,2024-09-01,45439,7935,4959.25,490,8430.16,17.462972336539096,1.699886071482583,6.175173282923756
Campaign B,2023-03-11,4094,6235,947.81,401,6325.94,152.2960429897411,6.67427015963115,6.431435445068163
Campaign A,2023-08-25,78354,4722,3719.26,121,1456.18,6.0264951374530975,0.3915241203895399,2.562473528166031
Campaign B,2023-04-26,78437,8539,1640.9,363,5512.01,10.886443897650345,3.359138277774392,4.251083265019323
Campaign B,2024-07-15,82046,3941,3228.43,331,5426.47,4.803402969066134,1.680838673906512,8.398883532098452
Campaign D,2024-03-24,93083,9184,2588.27,223,6157.06,9.866463263968717,2.3788321929319585,2.428135888501742
Campaign A,2023-01-12,77425,8369,3144.12,148,2684.2,10.809170164675493,0.8537205959060087,1.768431114828534
Campaign D,2023-02-12,41419,6765,1806.14,275,2583.94,16.33308385040682,1.4306421429125096,4.0650406504065035
Campaign A,2023-04-18,38667,310,1342.36,204,686.29,0.8017172265756329,0.5112562948836378,65.80645161290323
Campaign C,2023-03-06,39087,8247,2490.38,247,1173.62,21.09908665285133,0.47126141392076704,2.9950284952103794
Campaign D,2024-01-02,46426,4273,3311.26,181,5491.51,9.203894369534313,1.658435157613718,4.2358998361806695
Campaign B,2023-10-29,19170,7605,915.92,38,6648.69,39.671361502347416,7.259029172853524,0.4996712689020381
Campaign A,2023-06-19,76617,124,110.53,439,2331.84,0.16184397718522,21.096896770107666,354.03225806451616
Campaign D,2023-08-21,15884,794,4674.32,461,8416.63,4.9987408713170485,1.800610570093618,58.060453400503775
Campaign B,2024-09-16,5350,6001,1348.68,155,8950.34,112.16822429906541,6.636370376961176,2.5829028495250794
Campaign A,2024-12-24,36842,5652,4916.11,355,2388.1,15.341186689104827,0.4857702533100358,6.280962491153574
Campaign D,2024-03-13,7819,1605,4695.82,185,1812.81,20.52692160122778,0.38604759126201604,11.526479750778815
